figure,panel,metric,unit,model_family,task,level,model_snapshot,estimate,notes
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4o,coding,family summary,,2.966,Family-level adjacent-turn constructive lift from WildChat robustness analysis.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4o,writing,family summary,,2.228,Family-level adjacent-turn constructive lift from WildChat robustness analysis.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4.1-mini,coding,family summary,,43.42,Family-level summary from WildChat model-family robustness analysis.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4.1-mini,writing,family summary,,21.38,Family-level summary from WildChat model-family robustness analysis.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4.1-mini,coding,family summary,,1.295,Family-level adjusted scaffolded-support association from WildChat robustness analysis.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4.1-mini,writing,family summary,,1.073,Family-level adjusted scaffolded-support association from WildChat robustness analysis.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4.1-mini,coding,family summary,,0.962,Family-level adjacent-turn constructive lift from WildChat robustness analysis.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4.1-mini,writing,family summary,,0.753,Family-level adjacent-turn constructive lift from WildChat robustness analysis.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-3.5,coding,model snapshot,gpt-3.5-turbo-0301,51.25,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-3.5,writing,model snapshot,gpt-3.5-turbo-0301,14.07,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-3.5,coding,model snapshot,gpt-3.5-turbo-0613,51.69,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-3.5,writing,model snapshot,gpt-3.5-turbo-0613,13.6,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-3.5,coding,model snapshot,gpt-3.5-turbo,50.89,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-3.5,writing,model snapshot,gpt-3.5-turbo,16.2,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-3.5,coding,model snapshot,gpt-3.5-turbo-0125,52.73,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-3.5,writing,model snapshot,gpt-3.5-turbo-0125,12.18,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,coding,model snapshot,gpt-4,46.58,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,writing,model snapshot,gpt-4,12.77,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,coding,model snapshot,gpt-4-0314,43.31,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,writing,model snapshot,gpt-4-0314,16.84,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,coding,model snapshot,gpt-4-1106-preview,52.09,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,writing,model snapshot,gpt-4-1106-preview,18.06,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,coding,model snapshot,gpt-4-0125-preview,52.18,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,writing,model snapshot,gpt-4-0125-preview,17.52,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,coding,model snapshot,gpt-4-turbo-2024-04-09,51.53,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4,writing,model snapshot,gpt-4-turbo-2024-04-09,18.19,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4o,coding,model snapshot,gpt-4o-2024-05-13,52.3,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4o,writing,model snapshot,gpt-4o-2024-05-13,18.48,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4o,coding,model snapshot,gpt-4o-mini-2024-07-18,47.8,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4o,writing,model snapshot,gpt-4o-mini-2024-07-18,17.96,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4o,coding,model snapshot,gpt-4o-2024-08-06,50.02,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4o,writing,model snapshot,gpt-4o-2024-08-06,19.15,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4o,coding,model snapshot,gpt-4o-2024-11-20,40.33,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4o,writing,model snapshot,gpt-4o-2024-11-20,17.87,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4.1-mini,coding,model snapshot,gpt-4.1-mini-2025-04-14,43.42,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,a,cognitive engagement prevalence,percent,GPT-4.1-mini,writing,model snapshot,gpt-4.1-mini-2025-04-14,21.38,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-3.5,coding,model snapshot,gpt-3.5-turbo-0301,1.833,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-3.5,writing,model snapshot,gpt-3.5-turbo-0301,1.261,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-3.5,coding,model snapshot,gpt-3.5-turbo-0613,1.98,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-3.5,writing,model snapshot,gpt-3.5-turbo-0613,1.146,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-3.5,coding,model snapshot,gpt-3.5-turbo,1.837,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-3.5,writing,model snapshot,gpt-3.5-turbo,1.55,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-3.5,coding,model snapshot,gpt-3.5-turbo-0125,1.719,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-3.5,writing,model snapshot,gpt-3.5-turbo-0125,0.835,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,coding,model snapshot,gpt-4,1.607,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,writing,model snapshot,gpt-4,1.315,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,coding,model snapshot,gpt-4-0314,1.474,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,writing,model snapshot,gpt-4-0314,1.819,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,coding,model snapshot,gpt-4-1106-preview,2.133,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,writing,model snapshot,gpt-4-1106-preview,2.532,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,coding,model snapshot,gpt-4-0125-preview,1.847,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,writing,model snapshot,gpt-4-0125-preview,2.34,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,coding,model snapshot,gpt-4-turbo-2024-04-09,2.063,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4,writing,model snapshot,gpt-4-turbo-2024-04-09,1.89,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4o,coding,model snapshot,gpt-4o-2024-05-13,2.49,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4o,writing,model snapshot,gpt-4o-2024-05-13,2.521,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4o,coding,model snapshot,gpt-4o-mini-2024-07-18,2.355,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4o,writing,model snapshot,gpt-4o-mini-2024-07-18,1.271,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4o,coding,model snapshot,gpt-4o-2024-08-06,2.075,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4o,writing,model snapshot,gpt-4o-2024-08-06,2.054,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4o,coding,model snapshot,gpt-4o-2024-11-20,5.094,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4o,writing,model snapshot,gpt-4o-2024-11-20,5.358,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4.1-mini,coding,model snapshot,gpt-4.1-mini-2025-04-14,1.295,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,b,adjusted support association,Poisson count ratio,GPT-4.1-mini,writing,model snapshot,gpt-4.1-mini-2025-04-14,1.073,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-3.5,coding,model snapshot,gpt-3.5-turbo-0301,4.008,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-3.5,writing,model snapshot,gpt-3.5-turbo-0301,-0.42,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-3.5,coding,model snapshot,gpt-3.5-turbo-0613,2.418,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-3.5,writing,model snapshot,gpt-3.5-turbo-0613,0.661,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-3.5,coding,model snapshot,gpt-3.5-turbo,2.497,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-3.5,writing,model snapshot,gpt-3.5-turbo,0.317,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-3.5,coding,model snapshot,gpt-3.5-turbo-0125,3.15,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-3.5,writing,model snapshot,gpt-3.5-turbo-0125,0.771,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,coding,model snapshot,gpt-4,0.416,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,writing,model snapshot,gpt-4,0.679,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,coding,model snapshot,gpt-4-0314,6.612,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,writing,model snapshot,gpt-4-0314,0.217,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,coding,model snapshot,gpt-4-1106-preview,5.344,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,writing,model snapshot,gpt-4-1106-preview,2.361,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,coding,model snapshot,gpt-4-0125-preview,2.701,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,writing,model snapshot,gpt-4-0125-preview,1.284,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,coding,model snapshot,gpt-4-turbo-2024-04-09,-0.325,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4,writing,model snapshot,gpt-4-turbo-2024-04-09,1.203,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4o,coding,model snapshot,gpt-4o-2024-05-13,3.171,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4o,writing,model snapshot,gpt-4o-2024-05-13,2.871,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4o,coding,model snapshot,gpt-4o-mini-2024-07-18,1.405,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4o,writing,model snapshot,gpt-4o-mini-2024-07-18,0.683,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4o,coding,model snapshot,gpt-4o-2024-08-06,2.068,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4o,writing,model snapshot,gpt-4o-2024-08-06,1.546,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4o,coding,model snapshot,gpt-4o-2024-11-20,5.218,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4o,writing,model snapshot,gpt-4o-2024-11-20,3.813,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4.1-mini,coding,model snapshot,gpt-4.1-mini-2025-04-14,0.962,Snapshot-level value shown as a pale background point; model labels are observational.
Supplementary Figure D2,c,adjacent-turn constructive lift,percentage-point difference,GPT-4.1-mini,writing,model snapshot,gpt-4.1-mini-2025-04-14,0.753,Snapshot-level value shown as a pale background point; model labels are observational.
